BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
1815,18796,1/2P MTR M-SAT 7.30 TO 18.30,2P MTR M-SAT 18.30 - 20.30,2P SUN 7:30-18:30,,,,60,240,240,,,,30,120,120,,,,0,0,0,,,,18:30:00,20:30:00,18:30:00,,,,,,,,,,1,1,0,,,,07:30:00,18:30:00,07:30:00,,,,6,6,0,,,,1/2P Meter,2P,2P,,,
1240,17847,1P MTR M-F 10:00-16:00,1P MTR M-F 19:00-19:30,P MTR M-SAT 19:30-20:30,1P MTR SAT 7:30-19:30,,,120,120,0,120,,,60,60,60,60,,,0,0,0,0,,,16:00:00,19:30:00,20:30:00,19:30:00,,,,,,,,,1,1,1,6,,,10:00:00,19:00:00,19:30:00,07:30:00,,,5,5,6,6,,,1P Meter,1P Meter,P Meter,1P Meter,,
1241,17848,1P MTR M-F 10:00-16:00,1P MTR M-F 19:00-19:30,P MTR M-SAT 19:30-20:30,1P MTR SAT 7:30-19:30,,,120,120,0,120,,,60,60,60,60,,,0,0,0,0,,,16:00:00,19:30:00,20:30:00,19:30:00,,,,,,,,,1,1,1,6,,,10:00:00,19:00:00,19:30:00,07:30:00,,,5,5,6,6,,,1P Meter,1P Meter,P Meter,1P Meter,,
1242,17849,1P MTR M-F 10:00-16:00,1P MTR M-F 19:00-19:30,P MTR M-SAT 19:30-20:30,1P MTR SAT 7:30-19:30,,,120,120,0,120,,,60,60,60,60,,,0,0,0,0,,,16:00:00,19:30:00,20:30:00,19:30:00,,,,,,,,,1,1,1,6,,,10:00:00,19:00:00,19:30:00,07:30:00,,,5,5,6,6,,,1P Meter,1P Meter,P Meter,1P Meter,,
1243,17850,1P MTR M-F 10:00-16:00,1P MTR M-F 19:00-19:30,P MTR M-SAT 19:30-20:30,1P MTR SAT 7:30-19:30,,,120,120,0,120,,,60,60,60,60,,,0,0,0,0,,,16:00:00,19:30:00,20:30:00,19:30:00,,,,,,,,,1,1,1,6,,,10:00:00,19:00:00,19:30:00,07:30:00,,,5,5,6,6,,,1P Meter,1P Meter,P Meter,1P Meter,,
1244,17851,1P MTR M-F 10:00-16:00,2P MTR M-SAT 18.30 - 20.30,1P MTR Sat 7.30am to 6.30pm,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,16:00:00,20:30:00,18:30:00,,,,,,,,,,1,1,6,,,,10:00:00,18:30:00,07:30:00,,,,5,6,6,,,,1P Meter,2P,1P Meter,,,
1245,17852,1P MTR M-F 10:00-16:00,2P MTR M-SAT 18.30 - 20.30,1P MTR Sat 7.30am to 6.30pm,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,16:00:00,20:30:00,18:30:00,,,,,,,,,,1,1,6,,,,10:00:00,18:30:00,07:30:00,,,,5,6,6,,,,1P Meter,2P,1P Meter,,,
1246,17853,1P MTR M-F 10:00-16:00,2P MTR M-SAT 18.30 - 20.30,1P MTR Sat 7.30am to 6.30pm,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,16:00:00,20:30:00,18:30:00,,,,,,,,,,1,1,6,,,,10:00:00,18:30:00,07:30:00,,,,5,6,6,,,,1P Meter,2P,1P Meter,,,
1247,17854,1P MTR M-F 10:00-16:00,1P MTR M-F 19:00-19:30,1P MTR SAT 7:30-19:30,,,,120,120,120,,,,60,60,60,,,,0,0,0,,,,16:00:00,19:30:00,19:30:00,,,,,,,,,,1,1,6,,,,10:00:00,19:00:00,07:30:00,,,,5,5,6,,,,1P Meter,1P Meter,1P Meter,,,
1248,17855,1P MTR M-F 10:00-16:00,1P MTR M-F 19:00-19:30,1P MTR SAT 7:30-19:30,,,,120,120,120,,,,60,60,60,,,,0,0,0,,,,16:00:00,19:30:00,19:30:00,,,,,,,,,,1,1,6,,,,10:00:00,19:00:00,07:30:00,,,,5,5,6,,,,1P Meter,1P Meter,1P Meter,,,
3150,19433,3P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,,,,360,240,,,,,180,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,07:30:00,07:30:00,,,,,6,0,,,,,3P Meter,2P,,,,
2669,20465,1P MTR M-F 7:30-18:30,1P SAT 7:30-12:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,1P Meter,1P,,,,
2672,20468,1P MTR M-F 7:30-18:30,1P MTR SAT 7:30-12:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,1P Meter,1P Meter,,,,
2925,19479,1P MTR 6.00-6.30PM MON-SAT,2P MTR M-SAT 18.30 - 20.30,2P SUN 6:00-18:30,,,,120,240,240,,,,60,120,120,,,,0,0,0,,,,18:30:00,20:30:00,18:30:00,,,,,,,,,,1,1,0,,,,06:00:00,18:30:00,06:00:00,,,,6,6,0,,,,1P Meter,2P,2P,,,
1505,9854,2P DIS 7.30AM TO 8.30PM,P DIS ONLY 20.30 - 23.59,,,,,0,0,,,,,120,1440,,,,,1,1,,,,,20:30:00,23:59:59,,,,,,,,,,,1,1,,,,,07:30:00,20:30:00,,,,,0,0,,,,,2P Disabled Only,Disabled Only,,,,
2327,18963,CW TOW M-F 7:00-9:30,LZ 15M M-F 9:30-19:30,1P MTR SAT 7.30-6.30PM,2P MTR SAT 6.30PM - 8.30PM,1P SUN 7:30-18:30,,0,0,120,240,120,,0,15,60,120,60,,0,0,0,0,0,,09:30:00,19:30:00,18:30:00,20:30:00,18:30:00,,,,,,,,1,1,6,6,0,,07:00:00,09:30:00,07:30:00,18:30:00,07:30:00,,5,5,6,6,0,,Clearway (Tow away),Loading Zone 15M,1P Meter,2P Meter,1P,
5225,22271,1 PM Mon-Sat 7.30-23.00,1P sun 7.30-23.00,,,,,120,120,,,,,60,60,,,,,0,0,,,,,23:00:00,23:00:00,,,,,,,,,,,1,0,,,,,07:30:00,07:30:00,,,,,6,0,,,,,1P Meter,1P,,,,
1256,17863,1/2P DIS M-F 10:00-16:00,1/2P DIS M-F 19:00-22:00,2P DIS S-S 7:30-22:00,,,,0,0,240,,,,30,30,120,,,,0,0,0,,,,16:00:00,22:00:00,22:00:00,,,,,,,,,,1,1,6,,,,10:00:00,19:00:00,07:30:00,,,,5,5,0,,,,1/2P Disabled,1/2P Disabled,2P Area,,,
3146,19429,3P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,,,,360,240,,,,,180,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,07:30:00,07:30:00,,,,,6,0,,,,,3P Meter,2P,,,,
1520,23328,1/2P MTR M-SAT 7.30 TO 18.30,2P MTR M-SAT 18.30 - 20.30,,,,,60,240,,,,,30,120,,,,,0,0,,,,,18:30:00,20:30:00,,,,,,,,,,,1,1,,,,,07:30:00,18:30:00,,,,,6,6,,,,,1/2P Meter,2P,,,,
5452,20965,P Meter M-F 7.30-18.30,1P SAT-SUN 7:30-18:30,,,,,0,120,,,,,0,60,,,,,0,0,,,,,18:30:00,18:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,0,,,,,Meter,1P,,,,
1654,18651,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,18:30:00,20:30:00,18:30:00,,,,,,,,,,1,1,0,,,,07:30:00,18:30:00,07:30:00,,,,6,6,0,,,,1P Meter,2P,1P,,,
2671,20467,1P MTR M-F 7:30-18:30,1P SAT 7:30-12:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,1P Meter,1P,,,,
3404,23250,4P TKT A M-SAT 7:30-20:30,,,,,,480,,,,,,240,,,,,,0,,,,,,20:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,6,,,,,,4P Ticket A,,,,,
7055,23439,1P TKT A M-SAT 7:30-18:30,1P SUN 7:30-18:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,18:30:00,,,,,,,,,,,1,0,,,,,07:30:00,07:30:00,,,,,6,0,,,,,1P Ticket A,1P,,,,
1443,23188,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,07:30:00,07:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
1510,23341,1/4P M-F 7:30-19:30,,,,,,30,,,,,,15,,,,,,0,,,,,,19:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,5,,,,,,1/4P,,,,,
1512,23340,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,20:30:00,,,,,,,,,,,1,1,,,,,07:30:00,18:30:00,,,,,6,6,,,,,1P Meter,2P,,,,
1521,23338,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,20:30:00,,,,,,,,,,,1,1,,,,,07:30:00,18:30:00,,,,,6,6,,,,,1P Meter,2P,,,,
1508,23342,LZ 30mins AOT M-Su 20.30 -11.59,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,,,,0,120,240,,,,30,60,120,,,,1,0,0,,,,23:59:59,18:30:00,20:30:00,,,,,,,,,,1,1,1,,,,20:30:00,07:30:00,18:30:00,,,,0,6,6,,,,Loading Zone 30M,1P Meter,2P,,,
1233,17841,S/ No Stop AOT Buses 19:30-23:59,CW TOW M-F 7:00-10:00,1/2P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,1/2P MTR M-F 19:00-19:30,,0,0,60,0,60,,1,0,30,0,30,,1,0,0,0,0,,23:59:00,10:00:00,16:00:00,19:00:00,19:30:00,,Buses Excepted,,,,,,1,1,1,1,1,,19:30:00,07:00:00,10:00:00,16:00:00,19:00:00,,5,5,5,5,5,,S/ (No Stopping),Clearway (Tow away),1/2P Meter,Clearway (Tow away),1/2P Meter,
1228,17836,CW TOW M-F 7:00-10:00,1P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,2P MTR M-F 19:00-20:30,1P MTR SAT 7.30-6.30PM,2P MTR SAT 6.30PM - 8.30PM,0,120,0,240,120,240,0,60,0,120,60,120,0,0,0,0,0,0,10:00:00,16:00:00,19:00:00,20:30:00,18:30:00,20:30:00,,,,,,,1,1,1,1,6,6,07:00:00,10:00:00,16:00:00,19:00:00,07:30:00,18:30:00,5,5,5,5,6,6,Clearway (Tow away),1P Meter,Clearway (Tow away),2P Meter,1P Meter,2P Meter
1223,17831,S/ No Stop AOT Buses 8:30 -23:59,CW TOW M-F 7:00-10:00,1P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,2P MTR M-F 19:00-20:30,1P MTR SAT 7.30-6.30PM,0,0,120,0,240,120,1,0,60,0,120,60,1,0,0,0,0,0,23:59:00,10:00:00,16:00:00,19:00:00,20:30:00,18:30:00,Buses Excepted,,,,,,1,1,1,1,1,6,20:30:00,07:00:00,10:00:00,16:00:00,19:00:00,07:30:00,5,5,5,5,5,6,S/ (No Stopping),Clearway (Tow away),1P Meter,Clearway (Tow away),2P Meter,1P Meter
1224,17832,CW TOW M-F 7:00-10:00,1/2P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,2P MTR M-F 19:00-20:30,1/2 PMTR  SAT,2P MTR SAT 6.30PM - 8.30PM,0,60,0,240,60,240,0,30,0,120,30,120,0,0,0,0,0,0,10:00:00,16:00:00,19:00:00,20:30:00,18:30:00,20:30:00,,,,,,,1,1,1,1,6,6,07:00:00,10:00:00,16:00:00,19:00:00,07:30:00,18:30:00,5,5,5,5,6,6,Clearway (Tow away),1/2P Meter,Clearway (Tow away),2P Meter,1/2P Meter,2P Meter
1220,17829,CW TOW M-F 7:00-10:00,1/2P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,2P MTR M-F 19:00-20:30,1/2 PMTR  SAT,2P MTR SAT 6.30PM - 8.30PM,0,60,0,240,60,240,0,30,0,120,30,120,0,0,0,0,0,0,10:00:00,16:00:00,19:00:00,20:30:00,18:30:00,20:30:00,,,,,,,1,1,1,1,6,6,07:00:00,10:00:00,16:00:00,19:00:00,07:30:00,18:30:00,5,5,5,5,6,6,Clearway (Tow away),1/2P Meter,Clearway (Tow away),2P Meter,1/2P Meter,2P Meter
1216,17826,CW TOW M-F 7:00-10:00,1/2P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,2P MTR M-F 19:00-20:30,1/2 PMTR  SAT,2P MTR SAT 6.30PM - 8.30PM,0,60,0,240,60,240,0,30,0,120,30,120,0,0,0,0,0,0,10:00:00,16:00:00,19:00:00,20:30:00,18:30:00,20:30:00,,,,,,,1,1,1,1,6,6,07:00:00,10:00:00,16:00:00,19:00:00,07:30:00,18:30:00,5,5,5,5,6,6,Clearway (Tow away),1/2P Meter,Clearway (Tow away),2P Meter,1/2P Meter,2P Meter
1230,17838,CW TOW M-F 7:00-10:00,1P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,2P MTR M-F 19:00-20:30,1P MTR SAT 7.30-6.30PM,2P MTR SAT 6.30PM - 8.30PM,0,120,0,240,120,240,0,60,0,120,60,120,0,0,0,0,0,0,10:00:00,16:00:00,19:00:00,20:30:00,18:30:00,20:30:00,,,,,,,1,1,1,1,6,6,07:00:00,10:00:00,16:00:00,19:00:00,07:30:00,18:30:00,5,5,5,5,6,6,Clearway (Tow away),1P Meter,Clearway (Tow away),2P Meter,1P Meter,2P Meter
2674,20470,1P MTR M-F 7:30-18:30,1P MTR SAT 7:30-12:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,1P Meter,1P Meter,,,,
1231,17839,S/ No Stop AOT Buses 19:30-23:59,CW TOW M-F 7:00-10:00,1/2P MTR M-F 10:00-16:00,CW TOW M-F 16:00-19:00,1/2P MTR M-F 19:00-19:30,,0,0,60,0,60,,1,0,30,0,30,,1,0,0,0,0,,23:59:00,10:00:00,16:00:00,19:00:00,19:30:00,,Buses Excepted,,,,,,1,1,1,1,1,,19:30:00,07:00:00,10:00:00,16:00:00,19:00:00,,5,5,5,5,5,,S/ (No Stopping),Clearway (Tow away),1/2P Meter,Clearway (Tow away),1/2P Meter,
7058,23441,1P TKT A M-SAT 7:30-18:30,1P SUN 7:30-18:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,18:30:00,,,,,,,,,,,1,0,,,,,07:30:00,07:30:00,,,,,6,0,,,,,1P Ticket A,1P,,,,
1658,18654,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,18:30:00,20:30:00,18:30:00,,,,,,,,,,1,1,0,,,,07:30:00,18:30:00,07:30:00,,,,6,6,0,,,,1P Meter,2P,1P,,,
3558,20003,3P MTR M-SAT 7:30-20:30,,,,,,360,,,,,,180,,,,,,0,,,,,,20:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,6,,,,,,3P Meter,,,,,
3772,19500,1P MTR 6.00-6.30PM MON-SAT,2P MTR M-SAT 18.30 - 20.30,2P SUN 6:00-18:30,,,,120,240,240,,,,60,120,120,,,,0,0,0,,,,18:30:00,20:30:00,18:30:00,,,,,,,,,,1,1,0,,,,06:00:00,18:30:00,06:00:00,,,,6,6,0,,,,1P Meter,2P,2P,,,
3571,20016,3P MTR M-SAT 7:30-20:30,,,,,,360,,,,,,180,,,,,,0,,,,,,20:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,6,,,,,,3P Meter,,,,,
579,23417,2P MTR M-F 7:30-16:00,2P MTR M-F 18:30-20:30,2P MTR SAT 7:30-20:30,2P SUN 7:30-18:30,,,240,240,240,240,,,120,120,120,120,,,0,0,0,0,,,16:00:00,20:30:00,20:30:00,18:30:00,,,,,,,,,1,1,6,0,,,07:30:00,18:30:00,07:30:00,07:30:00,,,5,5,6,0,,,2P Meter,2P Meter,2P Meter,2P,,
